PlantID,PlantName,SoilTextureID,PHRangeID,OrganicMatterID,SalinityLevelID,ZoneID,HumidityID,PlantTypeID,PlantDescription
2,Lettuce,2,1,1,2,10.0,3,1,Sample row 117
2,Lettuce,3,1,3,1,9.0,3,2,Sample row 118
2,Lettuce,3,3,3,2,8.0,3,2,Sample row 119
3,Tomato,2,1,1,2,8.0,3,3,Sample row 120
4,Basil,3,3,2,1,9.0,2,3,Sample row 121
3,Tomato,1,2,2,1,8.0,2,1,Sample row 122
3,Tomato,1,2,1,2,8.0,1,2,Sample row 123
4,Basil,3,3,3,1,9.0,2,3,Sample row 124
3,Tomato,3,4,3,2,9.0,3,1,Sample row 125
2,Lettuce,2,4,2,1,9.0,1,3,Sample row 126
4,Basil,3,2,2,2,10.0,1,2,Sample row 127
3,Tomato,2,3,1,1,10.0,1,1,Sample row 128
3,Tomato,1,1,1,1,10.0,1,1,Sample row 129
3,Tomato,1,3,1,2,9.0,3,2,Sample row 130
3,Tomato,2,4,2,2,10.0,2,3,Sample row 131
2,Lettuce,1,4,3,2,8.0,3,2,Sample row 132
3,Tomato,1,1,2,1,8.0,2,2,Sample row 133
4,Basil,1,4,3,2,10.0,2,1,Sample row 134
2,Lettuce,1,4,3,2,8.0,1,1,Sample row 135
3,Tomato,1,1,2,1,10.0,2,1,Sample row 136
2,Lettuce,2,4,1,1,8.0,3,1,Sample row 137
3,Tomato,2,2,3,1,10.0,3,2,Sample row 138
3,Tomato,1,4,1,1,9.0,1,2,Sample row 139
4,Basil,1,1,1,1,9.0,3,1,Sample row 140
2,Lettuce,1,1,2,1,9.0,1,1,Sample row 141
2,Lettuce,2,2,2,2,9.0,3,2,Sample row 142
3,Tomato,1,1,1,2,8.0,3,2,Sample row 143
4,Basil,3,3,2,1,10.0,1,1,Sample row 144
4,Basil,3,2,1,1,9.0,3,3,Sample row 145
2,Lettuce,1,1,2,1,8.0,1,1,Sample row 146
2,Lettuce,3,1,1,2,8.0,3,1,Sample row 147
4,Basil,1,1,3,2,9.0,1,1,Sample row 148
2,Lettuce,2,1,2,2,10.0,2,1,Sample row 149
4,Basil,1,4,2,2,9.0,1,3,Sample row 150
2,Lettuce,3,4,3,1,8.0,1,3,Sample row 151
4,Basil,2,2,3,2,10.0,3,1,Sample row 152
2,Lettuce,2,3,3,1,8.0,2,3,Sample row 153
3,Tomato,1,3,1,1,9.0,2,2,Sample row 154
3,Tomato,1,4,1,2,8.0,3,2,Sample row 155
2,Lettuce,2,1,3,1,9.0,3,3,Sample row 156
3,Tomato,3,2,3,2,8.0,1,3,Sample row 157
3,Tomato,1,3,1,1,10.0,1,3,Sample row 158
4,Basil,3,1,1,2,9.0,1,3,Sample row 159
4,Basil,1,1,3,1,9.0,3,2,Sample row 160
3,Tomato,2,2,1,2,10.0,1,3,Sample row 161
3,Tomato,2,3,1,2,8.0,1,3,Sample row 162
3,Tomato,1,2,2,1,8.0,2,2,Sample row 163
3,Tomato,3,4,1,1,8.0,2,1,Sample row 164
4,Basil,1,4,3,2,8.0,2,2,Sample row 165
2,Lettuce,1,3,2,1,10.0,3,2,Sample row 166
2,Lettuce,3,4,2,1,10.0,3,3,Sample row 167
3,Tomato,1,2,3,2,10.0,1,1,Sample row 168
2,Lettuce,3,2,2,1,9.0,3,1,Sample row 169
2,Lettuce,3,4,2,1,8.0,3,2,Sample row 170
2,Lettuce,1,2,3,1,8.0,3,1,Sample row 171
4,Basil,3,4,3,2,8.0,1,2,Sample row 172
4,Basil,2,4,3,2,10.0,2,2,Sample row 173
4,Basil,2,3,1,2,9.0,3,2,Sample row 174
3,Tomato,3,4,2,1,8.0,3,3,Sample row 175
4,Basil,3,4,3,2,9.0,1,1,Sample row 176
2,Lettuce,1,2,3,1,8.0,1,3,Sample row 177
4,Basil,3,2,3,2,10.0,3,2,Sample row 178
3,Tomato,2,3,1,1,9.0,2,2,Sample row 179
4,Basil,2,2,1,2,9.0,3,2,Sample row 180
2,Lettuce,2,1,1,1,9.0,2,2,Sample row 181
3,Tomato,3,1,1,1,8.0,3,1,Sample row 182
4,Basil,2,1,3,2,8.0,1,1,Sample row 183
3,Tomato,2,4,2,2,9.0,1,2,Sample row 184
3,Tomato,1,4,1,1,9.0,1,2,Sample row 185
2,Lettuce,2,2,1,1,8.0,2,1,Sample row 186
3,Tomato,3,1,2,2,9.0,3,1,Sample row 187
2,Lettuce,1,2,1,1,8.0,3,1,Sample row 188
2,Lettuce,3,4,3,1,10.0,2,3,Sample row 189
4,Basil,2,4,2,1,9.0,1,3,Sample row 190
3,Tomato,1,1,2,1,8.0,3,3,Sample row 191
3,Tomato,3,3,2,2,9.0,1,1,Sample row 192
3,Tomato,1,2,1,1,10.0,2,2,Sample row 193
4,Basil,2,3,3,1,10.0,2,3,Sample row 194
2,Lettuce,2,1,3,1,10.0,1,1,Sample row 195
3,Tomato,2,4,2,1,8.0,3,3,Sample row 196
2,Lettuce,1,2,1,1,10.0,2,1,Sample row 197
3,Tomato,2,2,1,1,8.0,1,3,Sample row 198
4,Basil,3,1,3,2,10.0,3,2,Sample row 199
3,Tomato,2,3,3,1,8.0,1,1,Sample row 200
4,Basil,1,1,3,1,10.0,1,3,Sample row 201
3,Tomato,1,3,1,1,9.0,2,2,Sample row 202
4,Basil,2,4,2,1,8.0,2,1,Sample row 203
3,Tomato,1,4,1,1,10.0,3,1,Sample row 204
2,Lettuce,1,2,2,2,8.0,1,1,Sample row 205
4,Basil,3,1,2,1,8.0,3,1,Sample row 206
4,Basil,1,4,2,1,9.0,3,2,Sample row 207
2,Lettuce,2,3,2,1,10.0,3,1,Sample row 208
4,Basil,3,4,3,1,9.0,3,1,Sample row 209
2,Lettuce,3,4,3,1,9.0,1,3,Sample row 210
4,Basil,2,1,3,2,9.0,1,3,Sample row 211
4,Basil,2,4,3,1,8.0,3,2,Sample row 212
3,Tomato,2,2,2,2,8.0,2,3,Sample row 213
4,Basil,1,2,3,1,9.0,2,3,Sample row 214
2,Lettuce,1,2,1,2,9.0,2,2,Sample row 215
2,Lettuce,1,4,2,1,9.0,3,3,Sample row 216
2,Lettuce,2,2,2,2,9.0,1,2,Sample row 217
3,Tomato,2,4,2,1,9.0,1,1,Sample row 218
4,Basil,3,4,3,2,8.0,3,2,Sample row 219
2,Lettuce,1,4,3,2,8.0,3,2,Sample row 220
3,Tomato,2,4,2,1,8.0,2,3,Sample row 221
4,Basil,3,2,3,2,9.0,2,3,Sample row 222
2,Lettuce,2,1,3,2,9.0,3,3,Sample row 223
4,Basil,1,2,1,2,9.0,2,3,Sample row 224
2,Lettuce,2,2,2,1,8.0,3,1,Sample row 225
4,Basil,1,3,1,2,10.0,2,1,Sample row 226
3,Tomato,1,4,1,2,8.0,1,3,Sample row 227
3,Tomato,3,4,3,1,10.0,3,1,Sample row 228
2,Lettuce,1,4,1,2,8.0,1,1,Sample row 229
3,Tomato,1,3,3,2,10.0,1,3,Sample row 230
4,Basil,2,3,3,2,10.0,2,2,Sample row 231
2,Lettuce,3,2,1,2,8.0,1,3,Sample row 232
4,Basil,3,3,2,1,10.0,2,1,Sample row 233
3,Tomato,2,2,3,2,10.0,2,2,Sample row 234
4,Basil,2,1,3,2,10.0,1,1,Sample row 235
3,Tomato,3,3,3,1,9.0,2,3,Sample row 236
3,Tomato,2,4,1,1,10.0,3,3,Sample row 237
2,Lettuce,1,4,3,2,8.0,3,3,Sample row 238
3,Tomato,3,1,3,1,9.0,2,2,Sample row 239
2,Lettuce,3,1,2,2,9.0,1,1,Sample row 240
3,Tomato,1,2,2,1,9.0,1,1,Sample row 241
2,Lettuce,2,4,1,2,9.0,1,2,Sample row 242
3,Tomato,1,1,2,1,10.0,1,3,Sample row 243
3,Tomato,1,1,3,2,9.0,1,1,Sample row 244
2,Lettuce,2,2,3,1,8.0,3,1,Sample row 245
4,Basil,1,2,2,2,10.0,3,1,Sample row 246
3,Tomato,3,3,1,2,8.0,2,3,Sample row 247
4,Basil,1,2,2,2,8.0,2,2,Sample row 248
2,Lettuce,1,3,3,2,8.0,1,2,Sample row 249
2,Lettuce,2,3,1,2,8.0,3,3,Sample row 250
3,Tomato,2,1,3,1,10.0,1,2,Sample row 251
2,Lettuce,1,1,3,2,8.0,3,1,Sample row 252
2,Lettuce,1,2,2,1,9.0,1,1,Sample row 253
3,Tomato,2,3,3,1,8.0,3,3,Sample row 254
2,Lettuce,3,4,3,2,9.0,2,1,Sample row 255
4,Basil,1,3,3,2,8.0,2,1,Sample row 256
2,Lettuce,3,2,1,2,10.0,3,1,Sample row 257
2,Lettuce,1,1,1,2,8.0,1,2,Sample row 258
3,Tomato,1,1,1,1,9.0,3,3,Sample row 259
4,Basil,1,1,2,2,10.0,3,2,Sample row 260
2,Lettuce,1,1,1,1,10.0,1,3,Sample row 261
2,Lettuce,2,3,2,2,8.0,1,2,Sample row 262
4,Basil,2,3,3,2,8.0,1,3,Sample row 263
4,Basil,1,3,2,2,10.0,2,1,Sample row 264
3,Tomato,2,2,1,2,8.0,2,3,Sample row 265
3,Tomato,3,1,3,1,9.0,1,1,Sample row 266
3,Tomato,1,1,3,1,9.0,3,3,Sample row 267
3,Tomato,3,1,3,2,8.0,2,3,Sample row 268
3,Tomato,2,1,3,2,10.0,3,3,Sample row 269
2,Lettuce,2,1,2,1,9.0,2,3,Sample row 270
2,Lettuce,1,2,3,1,9.0,3,2,Sample row 271
2,Lettuce,2,4,2,2,9.0,1,2,Sample row 272
4,Basil,1,4,2,1,9.0,2,1,Sample row 273
3,Tomato,1,2,1,2,8.0,3,2,Sample row 274
3,Tomato,2,1,2,2,8.0,1,2,Sample row 275
3,Tomato,1,2,2,2,9.0,3,3,Sample row 276
4,Basil,1,2,1,1,8.0,2,3,Sample row 277
2,Lettuce,3,3,3,1,10.0,3,1,Sample row 278
2,Lettuce,2,4,2,2,10.0,2,1,Sample row 279
2,Lettuce,2,1,2,2,9.0,1,1,Sample row 280
3,Tomato,3,1,1,2,8.0,2,1,Sample row 281
4,Basil,1,2,2,1,8.0,1,2,Sample row 282
3,Tomato,3,1,1,1,9.0,1,1,Sample row 283
3,Tomato,2,2,2,1,10.0,2,2,Sample row 284
4,Basil,1,4,3,1,10.0,3,1,Sample row 285
2,Lettuce,3,1,1,1,9.0,2,2,Sample row 286
3,Tomato,1,1,3,2,10.0,1,3,Sample row 287
3,Tomato,3,3,1,2,9.0,1,1,Sample row 288
3,Tomato,2,1,1,1,10.0,1,2,Sample row 289
4,Basil,3,4,3,1,10.0,3,1,Sample row 290
2,Lettuce,2,3,2,1,10.0,3,2,Sample row 291
4,Basil,3,2,3,2,9.0,1,2,Sample row 292
2,Lettuce,1,1,1,2,8.0,3,3,Sample row 293
3,Tomato,1,3,2,1,10.0,2,2,Sample row 294
3,Tomato,2,4,2,1,10.0,3,3,Sample row 295
4,Basil,3,2,3,1,8.0,2,3,Sample row 296
3,Tomato,2,2,2,1,9.0,2,2,Sample row 297
2,Lettuce,2,2,3,1,8.0,2,2,Sample row 298
2,Lettuce,1,2,1,2,10.0,3,2,Sample row 299
3,Tomato,3,1,3,2,10.0,3,2,Sample row 300
4,Basil,1,3,3,2,10.0,1,2,Sample row 301
2,Lettuce,1,3,3,1,9.0,3,3,Sample row 302
4,Basil,2,1,3,2,9.0,3,1,Sample row 303
3,Tomato,2,1,3,2,10.0,2,1,Sample row 304
2,Lettuce,1,2,3,1,10.0,1,2,Sample row 305
2,Lettuce,1,2,2,1,9.0,3,3,Sample row 306
3,Tomato,1,4,3,2,9.0,3,2,Sample row 307
2,Lettuce,1,2,3,1,9.0,3,1,Sample row 308
2,Lettuce,2,1,2,1,10.0,1,3,Sample row 309
3,Tomato,3,4,3,1,10.0,2,3,Sample row 310
4,Basil,3,3,2,1,8.0,2,3,Sample row 311
2,Lettuce,2,2,1,2,9.0,3,3,Sample row 312
2,Lettuce,2,4,2,2,9.0,1,2,Sample row 313
2,Lettuce,1,1,3,2,8.0,3,1,Sample row 314
3,Tomato,1,3,1,2,10.0,1,1,Sample row 315
4,Basil,3,3,2,1,9.0,3,2,Sample row 316
4,Basil,1,3,3,1,9.0,3,2,Sample row 317
4,Basil,1,1,2,1,10.0,2,3,Sample row 318
4,Basil,1,2,1,2,8.0,2,2,Sample row 319
2,Lettuce,1,1,2,2,8.0,2,1,Sample row 320
2,Lettuce,3,2,3,1,8.0,2,2,Sample row 321
3,Tomato,3,4,3,2,9.0,2,1,Sample row 322
4,Basil,2,2,1,1,9.0,2,3,Sample row 323
4,Basil,2,4,2,1,8.0,3,2,Sample row 324
2,Lettuce,1,3,3,1,8.0,1,3,Sample row 325
2,Lettuce,3,4,3,1,8.0,1,1,Sample row 326
2,Lettuce,3,4,1,2,9.0,1,3,Sample row 327
2,Lettuce,3,3,3,1,10.0,2,3,Sample row 328
3,Tomato,1,1,3,1,8.0,3,1,Sample row 329
3,Tomato,2,2,1,2,8.0,1,3,Sample row 330
3,Tomato,3,1,3,2,10.0,1,3,Sample row 331
2,Lettuce,2,4,2,2,9.0,1,3,Sample row 332
4,Basil,3,2,2,1,9.0,3,3,Sample row 333
3,Tomato,1,4,2,2,10.0,2,2,Sample row 334
4,Basil,2,4,2,1,9.0,1,2,Sample row 335
4,Basil,1,1,3,1,9.0,3,3,Sample row 336
2,Lettuce,2,1,3,2,9.0,1,1,Sample row 337
2,Lettuce,1,1,3,1,8.0,3,3,Sample row 338
4,Basil,1,2,2,2,10.0,3,3,Sample row 339
3,Tomato,1,1,2,1,9.0,1,3,Sample row 340
2,Lettuce,1,1,1,1,9.0,2,3,Sample row 341
3,Tomato,1,3,2,2,10.0,1,2,Sample row 342
3,Tomato,3,4,2,2,10.0,2,3,Sample row 343
4,Basil,1,2,1,1,9.0,1,2,Sample row 344
2,Lettuce,2,3,3,2,9.0,1,3,Sample row 345
4,Basil,1,3,2,1,9.0,1,1,Sample row 346
4,Basil,2,1,3,1,9.0,3,1,Sample row 347
2,Lettuce,3,3,3,1,10.0,3,3,Sample row 348
2,Lettuce,1,4,1,2,9.0,2,2,Sample row 349
3,Tomato,1,3,3,1,8.0,3,1,Sample row 350
2,Lettuce,2,3,2,2,9.0,3,1,Sample row 351
2,Lettuce,3,3,1,1,10.0,2,2,Sample row 352
3,Tomato,1,3,3,1,9.0,2,3,Sample row 353
4,Basil,1,2,3,1,10.0,3,3,Sample row 354
4,Basil,2,3,3,2,9.0,2,2,Sample row 355
2,Lettuce,1,4,3,2,8.0,2,2,Sample row 356
4,Basil,2,4,3,2,10.0,3,2,Sample row 357
2,Lettuce,2,2,2,2,9.0,2,1,Sample row 358
4,Basil,3,2,2,2,8.0,2,3,Sample row 359
4,Basil,2,1,2,1,9.0,2,1,Sample row 360
4,Basil,3,1,3,2,8.0,2,1,Sample row 361
2,Lettuce,1,4,3,1,8.0,1,2,Sample row 362
4,Basil,1,2,2,1,10.0,3,3,Sample row 363
2,Lettuce,1,3,3,1,10.0,2,3,Sample row 364
3,Tomato,2,4,1,1,8.0,1,1,Sample row 365
3,Tomato,2,1,3,2,10.0,3,1,Sample row 366
2,Lettuce,1,2,2,1,10.0,2,3,Sample row 367
2,Lettuce,1,4,1,1,9.0,3,1,Sample row 368
4,Basil,1,2,2,1,8.0,1,2,Sample row 369
3,Tomato,2,2,3,1,10.0,3,1,Sample row 370
3,Tomato,1,1,1,1,8.0,1,2,Sample row 371
3,Tomato,3,2,3,1,10.0,1,2,Sample row 372
3,Tomato,3,1,3,1,9.0,2,2,Sample row 373
4,Basil,1,4,2,2,9.0,2,2,Sample row 374
2,Lettuce,3,4,3,2,10.0,2,2,Sample row 375
4,Basil,3,1,3,1,9.0,2,2,Sample row 376
4,Basil,2,2,2,1,9.0,3,2,Sample row 377
3,Tomato,2,4,3,1,10.0,1,1,Sample row 378
2,Lettuce,3,1,3,2,10.0,3,3,Sample row 379
2,Lettuce,1,4,1,1,8.0,2,3,Sample row 380
4,Basil,1,4,2,2,10.0,2,2,Sample row 381
4,Basil,3,3,2,1,8.0,1,1,Sample row 382
2,Lettuce,1,3,1,2,10.0,3,2,Sample row 383
2,Lettuce,1,4,1,2,10.0,1,3,Sample row 384
2,Lettuce,1,1,3,2,8.0,3,3,Sample row 385
2,Lettuce,3,1,1,2,10.0,3,2,Sample row 386
4,Basil,1,4,1,1,10.0,2,1,Sample row 387
4,Basil,1,2,3,1,10.0,1,3,Sample row 388
2,Lettuce,3,3,3,2,9.0,3,3,Sample row 389
4,Basil,3,1,3,1,9.0,2,2,Sample row 390
2,Lettuce,3,4,1,1,8.0,3,2,Sample row 391
3,Tomato,3,4,3,1,8.0,2,2,Sample row 392
3,Tomato,3,1,2,1,8.0,1,1,Sample row 393
4,Basil,2,2,2,1,10.0,3,2,Sample row 394
4,Basil,2,3,3,1,10.0,1,2,Sample row 395
2,Lettuce,2,2,1,2,8.0,1,3,Sample row 396
2,Lettuce,3,1,3,2,8.0,2,2,Sample row 397
2,Lettuce,1,1,1,1,9.0,2,1,Sample row 398
2,Lettuce,1,1,3,1,10.0,2,3,Sample row 399
4,Basil,2,2,2,1,8.0,1,1,Sample row 400
4,Basil,1,1,3,2,9.0,3,1,Sample row 401
2,Lettuce,2,4,2,1,8.0,1,1,Sample row 402
4,Basil,1,4,2,1,10.0,1,1,Sample row 403
3,Tomato,2,4,2,2,8.0,3,1,Sample row 404
3,Tomato,1,3,1,2,10.0,2,1,Sample row 405
3,Tomato,1,3,2,2,9.0,1,1,Sample row 406
2,Lettuce,3,1,3,1,10.0,3,2,Sample row 407
4,Basil,1,4,1,2,10.0,3,1,Sample row 408
2,Lettuce,3,1,3,2,8.0,2,1,Sample row 409
2,Lettuce,3,1,1,2,10.0,2,2,Sample row 410
2,Lettuce,2,4,2,2,10.0,3,3,Sample row 411
2,Lettuce,3,1,3,2,8.0,3,1,Sample row 412
2,Lettuce,2,4,1,1,10.0,2,3,Sample row 413
2,Lettuce,1,3,3,2,8.0,3,2,Sample row 414
4,Basil,2,2,2,2,9.0,1,3,Sample row 415
4,Basil,1,1,2,1,9.0,3,1,Sample row 416
2,Lettuce,1,3,3,2,9.0,2,3,Sample row 417
2,Lettuce,2,4,3,1,8.0,3,1,Sample row 418
3,Tomato,2,1,2,1,9.0,3,3,Sample row 419
4,Basil,3,1,2,1,10.0,3,1,Sample row 420
4,Basil,2,3,2,1,8.0,2,2,Sample row 421
4,Basil,3,4,3,1,10.0,2,2,Sample row 422
3,Tomato,3,4,1,1,10.0,2,1,Sample row 423
3,Tomato,2,4,1,2,10.0,3,1,Sample row 424
2,Lettuce,1,3,2,1,10.0,3,1,Sample row 425
4,Basil,3,1,2,1,9.0,3,2,Sample row 426
4,Basil,3,1,2,1,10.0,3,2,Sample row 427
2,Lettuce,1,2,1,1,8.0,2,1,Sample row 428
4,Basil,1,1,3,2,10.0,1,2,Sample row 429
2,Lettuce,3,3,1,1,8.0,3,1,Sample row 430
4,Basil,3,3,3,2,8.0,3,1,Sample row 431
4,Basil,1,1,1,1,8.0,1,2,Sample row 432
2,Lettuce,1,1,3,1,8.0,1,1,Sample row 433
3,Tomato,2,4,3,2,8.0,3,1,Sample row 434
2,Lettuce,2,2,3,1,9.0,2,2,Sample row 435
3,Tomato,3,3,2,1,10.0,2,1,Sample row 436
4,Basil,2,1,1,1,10.0,3,1,Sample row 437
2,Lettuce,2,1,3,1,10.0,3,3,Sample row 438
3,Tomato,1,4,3,2,10.0,3,1,Sample row 439
4,Basil,3,4,1,1,10.0,1,2,Sample row 440
2,Lettuce,3,3,3,1,8.0,3,2,Sample row 441
2,Lettuce,1,2,2,2,8.0,2,2,Sample row 442
3,Tomato,2,1,2,2,8.0,1,3,Sample row 443
3,Tomato,2,3,2,2,9.0,1,3,Sample row 444
3,Tomato,2,1,2,1,8.0,3,1,Sample row 445
2,Lettuce,1,2,3,2,10.0,1,3,Sample row 446
4,Basil,3,2,2,1,10.0,3,2,Sample row 447
3,Tomato,2,2,1,2,10.0,3,3,Sample row 448
2,Lettuce,2,4,2,2,9.0,3,3,Sample row 449
4,Basil,1,1,2,2,10.0,2,2,Sample row 450
4,Basil,3,2,2,2,9.0,3,3,Sample row 451
3,Tomato,2,2,2,1,9.0,1,1,Sample row 452
2,Lettuce,1,3,1,2,9.0,2,3,Sample row 453
3,Tomato,2,3,3,1,8.0,2,3,Sample row 454
3,Tomato,1,1,3,2,8.0,2,2,Sample row 455
2,Lettuce,1,2,2,2,8.0,2,1,Sample row 456
3,Tomato,3,1,1,1,10.0,3,2,Sample row 457
4,Basil,1,4,2,2,9.0,3,3,Sample row 458
2,Lettuce,1,3,1,1,8.0,3,1,Sample row 459
4,Basil,2,3,3,2,8.0,3,1,Sample row 460
